Date,Open,High,Low,Close,Volume
11/01/2024,"409.01","415.50","407.50","410.37","24,230,439"
10/31/2024,"415.36","416.16","406.30","406.35","53,970,980"
10/30/2024,"437.44","438.50","432.10","432.53","29,749,150"
10/29/2024,"428.00","433.17","425.80","431.95","17,644,080"
10/28/2024,"431.66","431.94","426.30","426.59","14,882,440"
10/25/2024,"426.76","432.52","426.57","428.15","16,899,061"
10/24/2024,"425.33","425.98","422.40","424.73","13,581,630"
10/23/2024,"430.86","431.08","422.53","424.60","19,654,381"
10/22/2024,"418.49","430.58","418.04","427.51","25,482,199"
10/21/2024,"416.12","418.96","413.75","418.78","14,206,120"
10/18/2024,"417.14","419.65","416.26","418.16","17,145,320"
10/17/2024,"422.36","422.50","415.59","416.72","14,820,000"
10/16/2024,"415.17","416.36","410.48","416.12","15,508,930"
10/15/2024,"422.18","422.48","415.26","418.74","18,900,199"
10/14/2024,"417.77","424.04","417.52","419.14","16,653,090"
10/11/2024,"416.14","417.13","413.25","416.32","14,144,940"
10/10/2024,"415.23","417.35","413.15","415.84","13,848,380"
10/09/2024,"415.86","420.38","414.30","417.46","14,974,260"
10/08/2024,"410.90","415.66","408.17","414.71","19,229,260"
10/07/2024,"416.00","417.11","409.00","409.54","20,919,760"
10/04/2024,"418.24","419.75","414.97","416.06","19,190,910"
10/03/2024,"417.63","419.55","414.29","416.54","13,686,420"
10/02/2024,"422.58","422.82","416.71","417.13","16,582,260"
