Rank;Name;Count;Change in Rank Since 2021;Change in Rank Since 2012
1;Noah;4,586;0;13
2;Muhammad;4,177;3;17
3;George;3,699;0;9
4;Oliver;3,691;-2;-2
5;Leo;3,610;1;15
6;Arthur;3,603;-2;46
7;Oscar;2,883;1;10
8;Theodore;2,835;3;89
9;Theo;2,808;6;35
10;Freddie;2,760;2;28
11;Archie;2,684;-2;12
12;Luca;2,625;16;49
13;Henry;2,624;-3;11
14;Jack;2,431;-1;-11
15;Harry;2,403;-8;-14
16;Charlie;2,391;-2;-12
17;Alfie;2,304;-1;-10
18;Arlo;2,176;2;229*
19;Thomas;2,101;-1;-13
20;Teddy;2,030;6;121*
21;Finley;2,025;-2;13
22;Jacob;1,892;-5;-17
23;Tommy;1,824;1;32
24;William;1,806;-3;-15
25;Lucas;1,771;-3;0
26;Isaac;1,733;-1;4
27;Mohammed;1,694;8;-1
28;Alexander;1,651;-1;-1
29;Albie;1,641;3;159*
30;Roman;1,640;-7;103*
31;Edward;1,612;-2;5
32;Jude;1,601;8;39
33;Elijah;1,549;0;49
34;James;1,534;-4;-24
35;Joshua;1,478;-4;-24
36;Reuben;1,475;0;32
37;Max;1,459;-3;-19
38;Rory;1,435;1;61
39;Sebastian;1,409;-1;2
40;Louie;1,396;1;39
41;Adam;1,374;3;-2
42;Mason;1,369;-5;-11
43;Ethan;1,268;0;-30
43;Hudson;1,268;16;234*
45;Harrison;1,236;4;-10
46;Ezra;1,217;5;313*
47;Hugo;1,193;-2;41
48;Louis;1,184;2;33
49;Reggie;1,159;-2;99*
50;Joseph;1,158;-4;-28
51;Benjamin;1,117;-9;-19
52;Ronnie;1,106;-4;53*
53;Daniel;1,080;1;-37
54;Logan;1,070;-1;-25
55;Jaxon;1,055;-3;137*
56;Oakley;1,048;11;161*
57;Albert;1,008;1;52*
58;Hunter;1,006;2;180*
59;Zachary;994;-4;-19
60;Samuel;987;-4;-45
61;Rowan;985;2;76*
62;David;930;0;-3
63;Toby;893;3;-14
64;Dylan;889;-7;-36
65;Frederick;886;-4;22
66;Jesse;882;-2;132*
67;Mohammad;844;16;-7
68;Otis;842;13;281*
69;Sonny;825;6;21
70;Gabriel;818;7;6
71;Grayson;815;-3;265*
72;Kai;799;19;-9
73;Frankie;766;-8;-7
74;Caleb;758;2;11
75;Carter;738;-6;60*
76;Liam;735;10;-26
77;Felix;733;-6;37*
78;Jasper;725;1;51*
79;Riley;720;-9;-71
80;Bobby;712;-7;-23
81;Alfred;706;-1;77*
82;Finn;702;-10;49*
83;Elliot;678;6;-8
84;Brody;670;6;119*
84;Rupert;670;9;184*
86;Ralph;667;-1;107*
87;Milo;655;-4;74*
88;Michael;642;-11;-35
89;Blake;619;-15;-23
90;Ellis;616;-2;10
91;Chester;612;-4;416*
92;Stanley;609;-10;-18
93;Yusuf;600;1;33*
94;Jackson;592;3;19*
95;Leon;584;6*;-23
96;Elias;572;13*;151*
97;Myles;569;3;102*
98;Tobias;568;0;30*
99;Musa;566;12*;114*
100;Axel;547;38*;534*
100;Ibrahim;547;2*;7*
