x,y,tag
-4,1.0104542167073785e-14,Normal Narrow
-3.991991991991992,1.1484346267925902e-14,Normal Narrow
-3.983983983983984,1.304921884014243e-14,Normal Narrow
-3.975975975975976,1.48235201579499e-14,Normal Narrow
-3.967967967967968,1.6834754211017044e-14,Normal Narrow
-3.95995995995996,1.9113966023935582e-14,Normal Narrow
-3.951951951951952,2.1696188092861525e-14,Normal Narrow
-3.943943943943944,2.4620941870036612e-14,Normal Narrow
-3.935935935935936,2.7932800925225937e-14,Normal Narrow
-3.9279279279279278,3.1682023191452035e-14,Normal Narrow
-3.91991991991992,3.5925260569672034e-14,Normal Narrow
-3.911911911911912,4.0726355133124134e-14,Normal Narrow
-3.903903903903904,4.6157232247854185e-14,Normal Narrow
-3.895895895895896,5.2298902123548534e-14,Normal Narrow
-3.8878878878878878,5.924258264161108e-14,Normal Narrow
-3.87987987987988,6.709095779023398e-14,Normal Narrow
-3.871871871871872,7.595958768542957e-14,Normal Narrow
-3.863863863863864,8.597848799066883e-14,Normal Narrow
-3.855855855855856,9.729389858597497e-14,Normal Narrow
-3.8478478478478477,1.1007026360211876e-13,Normal Narrow
-3.83983983983984,1.2449244745136799e-13,Normal Narrow
-3.831831831831832,1.407682142800646e-13,Normal Narrow
-3.823823823823824,1.591310013698215e-13,Normal Narrow
-3.815815815815816,1.798430204562185e-13,Normal Narrow
-3.8078078078078077,2.0319872475279048e-13,Normal Narrow
-3.7997997997998,2.295286837035978e-13,Normal Narrow
-3.7917917917917916,2.5920391218401623e-13,Normal Narrow
-3.7837837837837838,2.9264070607478544e-13,Normal Narrow
-3.775775775775776,3.3030604190249167e-13,Normal Narrow
-3.7677677677677677,3.7272360462907806e-13,Normal Narrow
-3.75975975975976,4.2048051474866453e-13,Normal Narrow
-3.7517517517517516,4.742348336830078e-13,Normal Narrow
-3.7437437437437437,5.347239351355742e-13,Normal Narrow
-3.735735735735736,6.027738396550374e-13,Normal Narrow
-3.7277277277277276,6.793096202661142e-13,Normal Narrow
-3.71971971971972,7.653669987536638e-13,Normal Narrow
-3.7117117117117115,8.621052651489887e-13,Normal Narrow
-3.7037037037037037,9.708216672905497e-13,Normal Narrow
-3.6956956956956954,1.0929674331533772e-12,Normal Narrow
-3.6876876876876876,1.230165606112433e-12,Normal Narrow
-3.67967967967968,1.384230892592397e-12,Normal Narrow
-3.6716716716716715,1.5571917428399015e-12,Normal Narrow
-3.6636636636636637,1.7513149090352108e-12,Normal Narrow
-3.6556556556556554,1.969132750856459e-12,Normal Narrow
-3.6476476476476476,2.2134735871591813e-12,Normal Narrow
-3.6396396396396398,2.487495423901891e-12,Normal Narrow
-3.6316316316316315,2.7947234231177473e-12,Normal Narrow
