Year;Sex;All aged 17 and over (%);17 to 20 (%);21 to 29 (%);30 to 39 (%);40 to 49 (%);50 to 59 (%);60 to 69 (%);70 and over (%);
1976;Females;29;20;43;48;37;24;15;4;
1976;Males;69;36;78;85;83;75;58;32;
1986;Females;41;29;54;62;56;41;24;11;
1986;Males;74;37;73;86;87;81;72;51;
1991;Females;50;35;65;68;67;50;33;15;
1991;Males;80;54;83;88;90;86;79;58;
1994;Females;55;42;69;74;71;59;38;16;
1994;Males;82;55;83;90;89;88;82;59;
1997;Females;58;36;68;74;74;63;46;22;
1997;Males;82;51;81;90;89;89;83;65;
2000;Females;61;38;70;79;75;67;54;22;
2000;Males;82;44;81;90;91;89;83;66;
2002;Females;61;30;62;77;77;74;55;28;
2002;Males;80;34;72;89;89;89;85;68;
2003;Females;61;24;62;77;77;71;58;26;
2003;Males;81;34;72;87;91;91;88;69;
2004;Females;61;24;61;77;77;71;60;28;
2004;Males;80;29;69;87;89;90;87;72;
2005;Females;64;26;61;77;79;75;62;36;
2005;Males;81;36;68;86;90;91;88;74;
2006;Females;64;32;62;78;80;74;64;32;
2006;Males;81;37;71;87;88;90;90;77;
2007;Females;64;35;63;76;78;74;64;36;
2007;Males;81;41;69;86;90;90;88;77;
2008;Females;65;35;61;78;80;76;67;37;
2008;Males;81;36;67;88;90;91;90;75;
2009;Females;65;33;62;76;79;75;69;38;
2009;Males;80;38;67;85;89;91;91;77;
2010;Females;66;32;60;77;80;77;70;41;
2010;Males;80;34;66;86;90;89;90;78;
2011;Females;66;30;59;74;79;76;71;44;
2011;Males;80;31;68;81;89;90;90;79;
2012;Females;66;31;62;75;81;75;71;43;
2012;Males;80;40;67;81;88;89;90;80;
2013;Females;68;31;64;77;80;77;73;47;
2013;Males;81;30;67;83;90;90;91;82;
2014;Females;67;25;61;75;80;78;73;47;
2014;Males;80;34;66;82;91;89;90;80;
2015;Females;68;32;61;74;80;78;73;50;
2015;Males;80;33;67;81;88;90;90;81;
2016;Females;67;29;63;72;80;79;73;50;
2016;Males;80;33;68;80;87;91;90;78;
2017;Females;69;30;65;76;80;79;75;50;
2017;Males;80;29;69;82;87;91;87;80;
2018;Females;70;38;62;74;81;83;77;54;
2018;Males;81;37;67;79;89;91;90;83;
2019;Females;71;35;60;74;83;83;79;55;
2019;Males;80;34;65;83;89;89;90;81;
2020;Females;77;28;70;81;87;87;83;68;
2020;Males;83;29;74;84;86;92;92;87;
2021;Females;74;23;68;77;81;84;82;66;
2021;Males;80;19;66;83;87;90;89;85;
2022;Females;71;26;64;74;78;80;80;62;
2022;Males;81;27;68;80;89;90;89;85;
2023;Females;70;28;58;70;79;82;76;63;
2023;Males;80;29;61;80;87;90;89;84;
