ID;LANGUAGE_ID;ACRONYM;LABEL
GP1301;EN;EPP;Group of the European People's Party (Christian Democrats)
GP1301;ES;PPE;Grupo del Partido Popular Europeo (Demócrata-Cristianos)
GP1301;BG;ЕНП;Група на Европейската народна партия (Християндемократи)
GP1301;CS;ELS;Poslanecký klub Evropské lidové strany (Křesťanských demokratů)
GP1301;DA;EPP;Det Europæiske Folkepartis Gruppe (Kristelige Demokrater)
GP1301;DE;EVP;Fraktion der Europäischen Volkspartei (Christdemokraten)
GP1301;EL;ΕΛΚ;Κoιvoβoυλευτική Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες)
GP1301;ET;ERP;Euroopa Rahvapartei (kristlike demokraatide) fraktsioon
GP1301;FI;EPP;Euroopan kansanpuolueen ryhmä (kristillisdemokraatit)
GP1301;FR;PPE;Groupe du Parti Populaire Européen (Démocrates-Chrétiens)
GP1301;GA;PPE;Grúpa Pháirtí an Phobail Eorpaigh (Na Daonlathaithe Críostaí)
GP1301;HR;EPP;Klub zastupnika Europske pučke stranke (kršćanski demokrati)
GP1301;HU;EPP;Európai Néppárt (Kereszténydemokraták) képviselőcsoport
GP1301;IT;PPE;Gruppo del Partito Popolare Europeo (Democratici-Cristiani)
GP1301;LV;ETP;Eiropas Tautas partijas (Kristīgie demokrāti) grupa
GP1301;LT;ELP;Europos liaudies partijos (krikščionių demokratų) grupė
GP1301;MT;PPE;Grupp tal-Partit Popolari Ewropew (Demokristjani)
GP1301;NL;EVP;Fractie van de Europese Volkspartij (christendemocraten)
GP1301;PL;EPL;Grupa Europejskiej Partii Ludowej (Chrześcijańscy Demokraci)
GP1301;PT;PPE;Grupo do Partido Popular Europeu (Democratas-Cristãos)
GP1301;RO;PPE;Grupul Partidului Popular European (Creștin Democrat)
GP1301;SK;EĽS;Poslanecký klub Európskej ľudovej strany (Kresťanských demokratov)
GP1301;SL;ELS;Poslanska skupina Evropske ljudske stranke (Krščanskih demokratov)
GP1301;SV;EPP;Group of the European People's Party (Christian Democrats)
GP1302;EN;S&D;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
GP1302;ES;S&D;Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo
GP1302;BG;S&D;Група на Прогресивния алианс на социалистите и демократите в Европейския парламент
GP1302;CS;S&D;Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu
GP1302;DA;S&D;Gruppen for Det Progressive Forbund af Socialdemokrater i Europa-Parlamentet
GP1302;DE;S&D;Fraktion der Progressiven Allianz der Sozialisten & Demokraten im Europäischen Parlament
GP1302;EL;S&D;Ομάδα της Προοδευτικής Συμμαχίας των Σοσιαλιστών και Δημοκρατών στο Ευρωπαϊκό Κοινοβούλιο
GP1302;ET;S&D;Sotsiaaldemokraatide ja demokraatide fraktsioon Euroopa Parlamendis
GP1302;FI;S&D;Euroopan parlamentin sosialistien ja demokraattien ryhmä
GP1302;FR;S&D;Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen
GP1302;GA;S&D;An Grúpa d'Aontas Forchéimnitheach na Sóisialaithe agus na nDaonlathaithe i bParlaimint na hEorpa
GP1302;HR;S&D;Klub zastupnika Progresivnog saveza socijalista i demokrata u Europskom parlamentu
GP1302;HU;S&D;Szocialisták és Demokraták Progresszív Szövetsége Európai Parlamenti Képviselőcsoportja
GP1302;IT;S&D;Gruppo dell'Alleanza Progressista di Socialisti e Democratici al Parlamento Europeo
GP1302;LV;S&D;Eiropas Parlamenta sociālistu un demokrātu progresīvās alianses grupa
GP1302;LT;S&D;Europos Parlamento socialistų ir demokratų pažangiojo aljanso frakcija
GP1302;MT;S&D;Grupp tal-Allejanza Progressiva tas-Socjalisti u d-Demokratici fil-Parlament Ewropew
GP1302;NL;S&D;Fractie van de Progressieve Alliantie van Socialisten en Democraten in het Europees Parlement
GP1302;PL;S&D;Grupa Postępowego Sojuszu Socjalistów i Demokratów w Parlamencie Europejskim
GP1302;PT;S&D;Grupo da Aliança Progressista dos Socialistas e Democratas no Parlamento Europeu
GP1302;RO;S&D;Grupul Alianței Progresiste a Socialiștilor si Democraților din Parlamentul European
GP1302;SK;S&D;Skupina progresívnej aliancie socialistov a demokratov v Európskom parlamente
GP1302;SL;S&D;Skupina naprednega zavezništva socialistov in demokratov v Evropskem parlamentu
GP1302;SV;S&D;Gruppen Progressiva förbundet av Socialdemokrater i Europaparlamentet
GP1303;EN;ALDE;Group of the Alliance of Liberals and Democrats for Europe
GP1303;ES;ADLE;Grupo de la Alianza de los Demócratas y Liberales por Europa
GP1303;BG;ALDE;Група на Алианса на либералите и демократите за Европа
GP1303;CS;ALDE;Skupina Aliance liberálů a demokratů pro Evropu
GP1303;DA;ALDE;Gruppen Alliancen af Liberale og Demokrater for Europa
GP1303;DE;ALDE;Fraktion der Allianz der Liberalen und Demokraten für Europa
GP1303;EL;ALDE;Ομάδα της Συμμαχίας Φιλελευθέρων και Δημοκρατών για την Ευρώπη
GP1303;ET;ALDE;Euroopa Demokraatide ja Liberaalide Liidu fraktsioon
GP1303;FI;ALDE;Euroopan liberaalidemokraattien liiton ryhmä
GP1303;FR;ADLE;Groupe Alliance des démocrates et des libéraux pour l'Europe
GP1303;GA;ALDE;Grúpa Chomhghuaillíocht na Liobrálaithe agus na nDaonlathaithe don Eoraip
GP1303;HR;ALDE;Klub zastupnika Saveza liberala i demokrata za Europu
GP1303;HU;ALDE;a Liberálisok és Demokraták Szövetsége Európáért képviselőcsoport
GP1303;IT;ADLE;Gruppo dell'Alleanza dei Democratici e dei Liberali per l'Europa
GP1303;LV;ALDE;Eiropas Liberāļu un demokrātu apvienības grupa
GP1303;LT;ALDE;Liberalų ir demokratų aljanso už Europą frakcija
GP1303;MT;ALDE;Grupp ta' l-Alleanza tal-Liberali u d-Demokratiċi għall-Ewropa
GP1303;NL;ALDE;Fractie Alliantie van Liberalen en Democraten voor Europa
GP1303;PL;ALDE;Grupa Porozumienia Liberałów i Demokratów na rzecz Europy
GP1303;PT;ALDE;Grupo da Aliança dos Democratas e Liberais pela Europa
GP1303;RO;ALDE;Grupul Alianței Liberalilor și Democraților pentru Europa
GP1303;SK;ALDE;Skupina Aliancie liberálov a demokratov za Európu
GP1303;SL;ALDE;Skupina Zavezništva liberalcev in demokratov za Evropo
GP1303;SV;ALDE;Gruppen Alliansen liberaler och demokrater för Europa
GP1304;EN;Greens/EFA;Group of the Greens/European Free Alliance
GP1304;ES;Verdes/ALE;Grupo de los Verdes/Alianza Libre Europea
GP1304;BG;Verts/ALE;Група на Зелените/Европейски свободен алианс
GP1304;CS;Zelení/ESA;Skupina Zelených/Evropské svobodné aliance
GP1304;DA;Grønne/EFA;Gruppen De Grønne/Den Europæiske Fri Alliance
GP1304;DE;Grünen/EFA;Fraktion der Grünen / Freie Europäische Allianz
GP1304;EL;Verts/ALE;Ομάδα τωv Πρασίvωv / Ευρωπαϊκή Ελεύθερη Συμμαχία
GP1304;ET;Verts/ALE;Roheliste / Euroopa Vabaliidu fraktsioon
GP1304;FI;Verts/ALE;Vihreät / Euroopan vapaa allianssi -ryhmä
GP1304;FR;Verts/ALE;Groupe des Verts/Alliance libre européenne
GP1304;GA;Verts/ALE;An Grúpa Glas/Grúpa na Saor-Comhghuaillíochta Eorpaí
GP1304;HR;Verts/ALE;Klub zastupnika Zelenih/Europskog slobodnog saveza
GP1304;HU;Zöldek/ESS;a Zöldek/ az Európai Szabad Szövetség Képviselőcsoportja
GP1304;IT;Verdi/ALE;Gruppo Verde/Alleanza libera europea
GP1304;LV;Verts/ALE;Zaļo un Eiropas Brīvās apvienības grupa
GP1304;LT;Verts/ALE;Žaliųjų frakcija/Europos laisvasis aljansas
GP1304;MT;Verts/ALE;Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GP1304;NL;Verts/ALE;Fractie De Groenen/Vrije Europese Alliantie
GP1304;PL;Verts/ALE;Grupa Zielonych / Wolne Przymierze Europejskie
GP1304;PT;Verdes/ALE;Grupo dos Verdes/Aliança Livre Europeia
GP1304;RO;Verts/ALE;Grupul Verzilor/Alianța Liberă Europeană
GP1304;SK;Verts/ALE;Skupina zelených/Európska slobodná aliancia
GP1304;SL;Zelení/ESZ;Skupina Zelenih/Evropske svobodne zveze
GP1304;SV;Gröna/EFA;Gruppen De gröna/Europeiska fria alliansen
GP1305;EN;ECR;European Conservatives and Reformists Group
GP1305;ES;CRE;Grupo de los Conservadores y Reformistas Europeos
GP1305;BG;ЕКР;Европейски консерватори и реформисти
GP1305;CS;ECR;Skupina Evropských konzervativců a reformistů
GP1305;DA;EKR;De Europæiske Konservative og Reformister
GP1305;DE;EKR;Fraktion Europäische Konservative und Reformisten
GP1305;EL;ΕΣΜ;Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών
GP1305;ET;ECR;Euroopa Konservatiivide ja Reformistide fraktsioon
GP1305;FI;EKR;Euroopan konservatiivit ja reformistit
GP1305;FR;ECR;Groupe des Conservateurs et Réformistes européens
GP1305;GA;ECR;Coimeádaithe agus Leasaitheoirí na hEorpa
GP1305;HR;ECR;Europski konzervativci i reformisti
GP1305;HU;ECR;Európai Konzervatívok és Reformerek Képviselőcsoport
GP1305;IT;ECR;Gruppo dei Conservatori e Riformisti europei
GP1305;LV;EKR;Eiropas Konservatīvo un reformistu grupa
GP1305;LT;EKR;Europos konservatorių ir reformuotojų frakcija
GP1305;MT;ECR;Grupp tal-Konservattivi u Riformisti Ewropej
GP1305;NL;ECR;Fractie Europese Conservatieven en Hervormers
GP1305;PL;EKR;Europejscy Konserwatyści i Reformatorzy
GP1305;PT;CRE;Grupo dos Conservadores e Reformistas Europeus
GP1305;RO;CRE;Grupul Conservatorilor și Reformiștilor Europeni
GP1305;SK;EKR;Európski konzervatívci a reformisti
GP1305;SL;ECR;Skupina Evropskih konservativcev in reformistov
GP1305;SV;ECR;Gruppen Europeiska konservativa och reformister
GP1306;EN;GUE/NGL;Confederal Group of the European United Left - Nordic Green Left
GP1306;ES;GUE/NGL;Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica
GP1306;BG;GUE/NGL;Конфедеративна група на Европейската обединена левица - Северна зелена левица
GP1306;CS;GUE/NGL;Skupina konfederace Evropské sjednocené levice a Severské zelené levice
GP1306;DA;GUE/NGL;Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre
GP1306;DE;GUE/NGL;Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke
GP1306;EL;GUE/NGL;Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών
GP1306;ET;GUE/NGL;Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon
GP1306;FI;GUE/NGL;Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto
GP1306;FR;GUE/NGL;Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique
GP1306;GA;GUE/NGL;Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach
GP1306;HR;GUE/NGL;Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice
GP1306;HU;GUE/NGL;az Egységes Európai Baloldal/Északi Zöld Baloldal képviselőcsoport
GP1306;IT;GUE/NGL;Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica
GP1306;LV;GUE/NGL;Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa
GP1306;LT;GUE/NGL;Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji
GP1306;MT;GUE/NGL;Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku
GP1306;NL;GUE/NGL;Confederale Fractie Europees Unitair Links/Noords Groen Links
GP1306;PL;GUE/NGL;Konfederacyjna Grupa Zjednoczonej Lewicy Europejskiej / Nordycka Zielona Lewica
GP1306;PT;GUE/NGL;Grupo Confederal da Esquerda Unitária Europeia/Esquerda Nórdica Verde
GP1306;RO;GUE/NGL;Grupul Confederal al Stângii Unite Europene/Stânga Verde Nordică
GP1306;SK;GUE/NGL;Konfederatívna skupina Európskej zjednotenej ľavice - Severskej zelenej ľavice
GP1306;SL;GUE/NGL;Konfederalna skupina Evropske združene levice - Zelene nordijske levice
GP1306;SV;GUE/NGL;Gruppen Europeiska enade vänstern/Nordisk grön vänster
GP1307;EN;EFD;Europe of freedom and democracy Group
GP1307;ES;EFD;Europa de la Libertad y de la Democracia
GP1307;BG;EFD;Група „Европа на свободата и демокрацията”
GP1307;CS;EFD;Evropa Svobody a Demokracie
GP1307;DA;EFD;Gruppen for Europæisk Frihed og Demokrati
GP1307;DE;EFD;Fraktion „Europa der Freiheit und der Demokratie“
GP1307;EL;EFD;Ευρώπη ελευθερίας και δημοκρατίας
GP1307;ET;EFD;Vaba ja Demokraatliku Euroopa fraktsioon
GP1307;FI;EFD;Vapaa ja demokraattinen Eurooppa
GP1307;FR;EFD;Groupe Europe libertés démocratie
GP1307;GA;EFD;An Grúpa d’Eoraip na Saoirse agus an Daonlathais
GP1307;HR;EFD;Klub zastupnika Europe slobode i demokracije
GP1307;HU;EFD;a Szabadság és Demokrácia Európája képviselőcsoport
GP1307;IT;EFD;Gruppo Europa della Libertà e della Democrazia
GP1307;LV;EFD;Grupa „Brīvības un demokrātijas Eiropa”
GP1307;LT;EFD;Frakcija „Laisvės ir demokratijos Europa“
GP1307;MT;EFD;Grupp għall Ewropa ħielsa u demokratika
GP1307;NL;EFD;Europa van vrijheid en democratie
GP1307;PL;EFD;Europa Wolności i Demokracji
GP1307;PT;EFD;Europa da Liberdade e da Democracia
GP1307;RO;EFD;Grupul Europa Libertății și Democrației
GP1307;SK;EFD;Skupina Európa slobody a demokracie
GP1307;SL;EFD;Skupina Evropa svobode in demokracije
GP1307;SV;EFD;Gruppen Frihet och demokrati i Europa
NA;EN;NI;Non-attached Members
NA;ES;NI;No inscritos
NA;BG;НЧ;Независими членове
NA;CS;NI;Nezařazení poslanci
NA;DA;NI;Løsgængere
NA;DE;NI;Fraktionslos
NA;EL;NI;Μη Εγγεγραμμένοι
