"Year","Country_of_origin","Country of asylum","Refugees",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
1971,Albania,-,390,0,0,0,0,0,0,,0
1971,Angola,-,419690,0,650,0,0,0,0,,0
1971,Armenia,-,4070,0,0,0,0,0,0,,0
1971,"Bolivia (Plurinational State of)",-,2930,0,0,0,0,0,0,,0
1971,Brazil,-,2000,0,0,0,0,0,0,,0
1971,Bulgaria,-,340,0,0,0,0,0,0,,0
1971,Cambodia,-,57000,0,0,0,0,0,0,,0
1971,Chad,-,1400,0,0,0,0,0,0,,0
1971,China,-,70000,0,0,0,0,0,0,,0
1971,"Dem. Rep. of the Congo",-,43470,0,8790,0,0,0,0,,0
1971,Cuba,-,54500,0,0,0,0,0,0,,0
1971,Czechia,-,70,0,0,0,0,0,0,,0
1971,Ethiopia,-,55200,0,0,0,0,0,0,,0
1971,Guinea-Bissau,-,80000,0,0,0,0,0,0,,0
1971,Greece,-,1480,0,0,0,0,0,0,,0
1971,Guinea,-,300,0,0,0,0,0,0,,0
1971,Hungary,-,220,0,0,0,0,0,0,,0
1971,India,-,0,0,2034310,0,0,0,0,,0
1971,Lesotho,-,60,0,0,0,0,0,0,,0
1971,Malawi,-,250,0,0,0,0,0,0,,0
1971,Mozambique,-,60410,0,1050,0,0,0,0,,0
1971,Namibia,-,900,0,0,0,0,0,0,,0
1971,Poland,-,150,0,0,0,0,0,0,,0
1971,Romania,-,60,0,0,0,0,0,0,,0
1971,"South Africa",-,850,0,0,0,0,0,0,,0
1971,"Russian Federation",-,160,0,0,0,0,0,0,,0
1971,Rwanda,-,141630,0,340,0,0,0,0,,0
1971,"Serbia and Kosovo: S/RES/1244 (1999)",-,140,0,0,0,0,0,0,,0
1971,Spain,-,670,0,0,0,0,0,0,,0
1971,Sudan,-,171330,0,2940,0,0,0,0,,0
1971,Zambia,-,750,0,10000,0,0,0,0,,0
1971,Tibetan,-,64110,0,0,0,0,0,0,,0
1971,"Unknown ",-,2045180,0,220,0,0,0,0,,0
1972,Albania,-,2300,0,0,0,0,0,0,,0
1972,Angola,-,421500,0,0,0,0,0,0,,0
1972,Armenia,-,3500,0,0,0,0,0,0,,0
1972,Burundi,-,129000,0,0,0,0,0,0,,0
1972,"Bolivia (Plurinational State of)",-,1730,0,0,0,0,0,0,,0
1972,Brazil,-,2000,0,0,0,0,0,0,,0
1972,Bulgaria,-,340,0,0,0,0,0,0,,0
1972,Cambodia,-,55000,0,0,0,0,0,0,,0
1972,Chad,-,1500,0,0,0,0,0,0,,0
1972,China,-,75000,0,0,0,0,0,0,,0
1972,"Dem. Rep. of the Congo",-,43920,0,700,0,0,0,0,,0
1972,Cuba,-,17070,0,0,0,0,0,0,,0
1972,Czechia,-,70,0,0,0,0,0,0,,0
1972,Ethiopia,-,44640,0,8090,0,0,0,0,,0
1972,Guinea-Bissau,-,82000,0,50,0,0,0,0,,0
1972,Greece,-,6610,0,0,0,0,0,0,,0
1972,Hungary,-,210,0,0,0,0,0,0,,0
1972,India,-,0,0,9799410,0,0,0,0,,0
1972,Malawi,-,250,0,20000,0,0,0,0,,0
1972,Mozambique,-,64400,0,0,0,0,0,0,,0
1972,Myanmar,-,5700,0,0,0,0,0,0,,0
1972,Namibia,-,1000,0,0,0,0,0,0,,0
1972,Poland,-,140,0,0,0,0,0,0,,0
1972,Romania,-,90,0,0,0,0,0,0,,0
1972,"South Africa",-,790,0,0,0,0,0,0,,0
1972,"Russian Federation",-,150,0,0,0,0,0,0,,0
1972,Rwanda,-,153650,0,340,0,0,0,0,,0
1972,"Serbia and Kosovo: S/RES/1244 (1999)",-,130,0,0,0,0,0,0,,0
1972,Spain,-,650,0,0,0,0,0,0,,0
1972,Sudan,-,128450,0,84930,0,0,0,0,,0
1972,Türkiye,-,250,0,0,0,0,0,0,,0
1972,Zambia,-,750,0,0,0,0,0,0,,0
1972,Tibetan,-,65680,0,0,0,0,0,0,,0
1972,"Unknown ",-,1943380,0,80,0,0,0,0,,0
