Characteristic;2019;2023
Croatia;25.2%;25.8%
Portugal;17.3%;19.6%
Greece;20.7%;19.2%
Spain;14.1%;14.5%
Malta;14.7%;13.6%
Cyprus;13.5%;12.9%
Germany;11.4%;11%
Austria;10.7%;10.6%
Italy;10.6%;10.5%
Slovenia;10.8%;9.8%
Netherlands;10.6%;9.6%
Estonia;12.4%;9.2%
France;8.5%;8.8%
United Kingdom;9.9%;8.8%
Luxembourg;9.8%;8.5%
Latvia;7.7%;7.5%
Hungary;8.3%;7.4%
Finland;7.8%;7.1%
Sweden;7.3%;7.1%
Bulgaria;9.9%;6.9%
Denmark;6.4%;6.5%
Romania;6%;5.6%
Belgium;5.7%;5.5%
Czechia;6.2%;5.5%
Lithuania;6%;5.2%
Slovakia;6.7%;4.8%
Poland;4.9%;4.1%
Ireland;4.2%;3.8%
