pk-d--flex,pk-identifier,pk-identifier (2),ag-cell-value,ag-cell-value (2),ag-cell-value (3),ag-cell-value (4),ag-cell-value (5),ag-cell-value (6),ag-cell-value (7)
1,Man City,England,25.000,35.000,27.000,33.000,28.000,148.000,20.860
2,Bayern München,Germany,36.000,27.000,26.000,27.000,28.000,144.000,17.324
3,Real Madrid,Spain,17.000,26.000,30.000,29.000,34.000,136.000,17.897
4,Paris,France,31.000,24.000,19.000,19.000,23.000,116.000,13.366
5,Liverpool,England,18.000,24.000,33.000,19.000,20.000,114.000,20.860
6,Roma,Italy,11.000,24.000,23.000,22.000,21.000,101.000,18.056
7,Inter,Italy,25.000,9.000,18.000,29.000,20.000,101.000,18.056
8,B. Dortmund,Germany,18.000,22.000,10.000,18.000,29.000,97.000,17.324
9,Leipzig,Germany,27.000,17.000,17.000,18.000,18.000,97.000,17.324
10,Chelsea,England,17.000,33.000,25.000,21.000,-,96.000,20.860
11,Man Utd,England,22.000,26.000,18.000,19.000,7.000,92.000,20.860
12,Barcelona,Spain,24.000,20.000,15.000,9.000,23.000,91.000,17.897
13,Leverkusen,Germany,18.000,10.000,14.000,19.000,29.000,90.000,17.324
14,Atleti,Spain,22.000,16.000,19.000,8.000,24.000,89.000,17.897
15,Sevilla,Spain,26.000,19.000,12.000,21.000,6.000,84.000,17.897
16,Villarreal,Spain,-,30.000,24.000,12.000,16.000,82.000,17.897
17,Atalanta,Italy,20.000,17.000,16.000,-,28.000,81.000,18.056
18,Napoli,Italy,19.000,10.000,9.000,25.000,17.000,80.000,18.056
19,Juventus,Italy,22.000,21.000,20.000,17.000,-,80.000,18.056
20,Benfica,Portugal,10.000,10.000,20.000,25.000,14.000,79.000,11.263
21,Porto,Portugal,7.000,23.000,10.000,18.000,19.000,77.000,11.263
22,Arsenal,England,10.000,23.000,-,17.000,22.000,72.000,20.860
23,West Ham,England,-,-,21.000,29.000,19.000,69.000,20.860
24,Ajax,Netherlands,13.000,19.000,22.000,8.000,5.000,67.000,12.260
25,Club Brugge,Belgium,8.000,11.000,7.000,17.000,21.000,64.000,9.760
26,Rangers,Scotland,11.000,15.000,19.000,4.000,14.000,63.000,7.210
27,Shakhtar,Ukraine,22.000,14.000,6.000,11.000,10.000,63.000,5.600
28,Frankfurt,Germany,9.000,-,28.000,16.000,7.000,60.000,17.324
