ref_area.label;source.label;indicator.label;classif1.label;time;obs_value
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;10213
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;922786
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;8317692
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;630079
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;342804
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5319
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;10445
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5168015
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;140964
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;259937
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;29484
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;216255
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;14
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;333222
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;35332
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;291168
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;6
